Name,Last Name,Firstst Name,Fights,Strikes,Total Strike Accuracy,Take Down,Take Down Accuracy,Knock Down,pass,Reversal,Substitution
"Good, Lyman",Good,Lyman,6,170,52.80%,1,100.00%,2,1,0,0
"de la Rocha, Chris",de la Rocha,Chris,4,169,52.20%,4,30.80%,0,5,0,0
"Schnell, Matt",Schnell,Matt,4,169,39.50%,1,25.00%,0,2,0,0
"Hadzovic, Damir",Hadzovic,Damir,4,168,53.50%,0,0.00%,2,0,0,0
"Brennan, Chris",Brennan,Chris,3,167,84.30%,1,33.30%,0,1,0,1
"Giagos, Christos",Giagos,Christos,5,167,43.90%,6,40.00%,0,5,2,1
"Liaudin, Jess",Liaudin,Jess,5,166,65.10%,8,53.30%,2,2,0,1
"Larson, Brock",Larson,Brock,6,164,64.30%,9,30.00%,0,6,0,2
"Buentello, Paul",Buentello,Paul,6,163,50.90%,1,50.00%,3,2,1,1
"Massenzio, Mike",Massenzio,Mike,7,163,52.80%,10,24.40%,1,9,0,1
"Ramos, Ricardo",Ramos,Ricardo,4,163,46.20%,4,50.00%,2,4,0,0
"Albu, Alexandra",Albu,Alexandra,3,162,54.90%,5,55.60%,0,2,0,1
"Mohr, Nate",Mohr,Nate,4,162,47.50%,1,50.00%,0,1,0,0
"Steinbeiss, Steve",Steinbeiss,Steve,2,162,74.00%,0,0.00%,0,0,0,0
"Williams, Pete",Williams,Pete,8,162,57.90%,3,50.00%,2,8,0,2
"Lima, Dhiego",Lima,Dhiego,7,162,52.80%,6,66.70%,2,9,0,0
"Reyes, Dominick",Reyes,Dominick,5,162,62.10%,1,25.00%,3,2,0,1
"Drwal, Tomasz",Drwal,Tomasz,6,161,43.40%,9,60.00%,1,8,0,1
"Imes, Brad",Imes,Brad,3,160,37.60%,5,71.40%,0,3,1,0
"Brookins, Jonathan",Brookins,Jonathan,5,157,49.40%,6,15.80%,0,4,0,0
"Kara-France, Kai",Kara-France,Kai,2,157,60.20%,0,-,1,5,1,0
"Credeur, Tim",Credeur,Tim,5,156,33.80%,1,100.00%,2,3,0,1
"Milstead, Adam",Milstead,Adam,4,156,51.50%,0,-,0,0,0,0
"Pedro, Tyson",Pedro,Tyson,6,156,69.30%,2,25.00%,2,4,0,2
"Price, Niko",Price,Niko,8,156,36.70%,4,28.60%,2,6,2,2
"Rinaldi, Jordan",Rinaldi,Jordan,5,155,64.30%,5,45.50%,0,10,1,1
"Henry, Danny",Henry,Danny,2,155,62.50%,1,33.30%,2,8,0,1
"Lister, Dean",Lister,Dean,6,154,46.00%,8,14.80%,0,6,1,2
"Lajcik, Tim",Lajcik,Tim,3,153,71.80%,0,0.00%,0,4,0,0
"Horcher, Darrell",Horcher,Darrell,4,153,56.70%,1,50.00%,0,3,1,0
"Arnett, Austin",Arnett,Austin,4,153,50.70%,2,18.20%,0,2,0,0
"Emeev, Ramazan",Emeev,Ramazan,3,152,54.30%,6,33.30%,1,1,0,0
"Ige, Dan",Ige,Dan,3,151,51.70%,5,23.80%,0,9,1,0
"Jensen, Ryan",Jensen,Ryan,8,150,49.70%,4,50.00%,1,3,2,2
"DeSouza, Tony",DeSouza,Tony,6,148,77.90%,6,42.90%,0,6,1,2
"Esquibel, Jodie",Esquibel,Jodie,3,147,40.20%,0,0.00%,0,0,0,0
"Weili, Zhang",Weili,Zhang,3,146,52.30%,2,40.00%,0,3,0,1
"Eklund, Per",Eklund,Per,3,145,78.00%,4,11.10%,0,3,0,1
"Santiago, Jorge",Santiago,Jorge,6,145,41.00%,2,25.00%,1,4,1,0
"van Arsdale, Mike",van Arsdale,Mike,4,145,56.20%,3,20.00%,0,9,1,1
"Bessette, Matt",Bessette,Matt,2,143,42.70%,0,0.00%,0,0,1,0
"Cruz, Marcio",Cruz,Marcio,4,142,58.40%,1,7.10%,0,2,0,1
"Fryklund, Tony",Fryklund,Tony,4,142,72.40%,1,50.00%,1,5,0,1
"Kondo, Yuki",Kondo,Yuki,3,142,82.60%,0,0.00%,2,1,2,0
"Simon, Ricky",Simon,Ricky,3,141,47.80%,23,50.00%,0,12,1,0
"Trizano, Michael",Trizano,Michael,2,141,64.10%,1,50.00%,0,2,1,0
"Silva, Assuerio",Silva,Assuerio,3,140,67.30%,7,38.90%,0,5,0,0
"Tukhugov, Zubaira",Tukhugov,Zubaira,6,139,37.30%,7,46.70%,0,0,0,0
"Zawada, David",Zawada,David,2,137,48.20%,2,22.20%,1,4,1,0
"Berger, Steve",Berger,Steve,3,136,73.50%,1,33.30%,0,1,1,0
"Young, Shane",Young,Shane,3,136,43.50%,2,33.30%,0,2,0,0
"Erosa, Julian",Erosa,Julian,3,135,61.90%,3,75.00%,0,2,0,0
"Sanchez, Roberto",Sanchez,Roberto,3,135,73.40%,5,62.50%,0,2,0,1
"Petruzelli, Seth",Petruzelli,Seth,4,134,57.30%,1,50.00%,2,0,0,0
"Byrd, Charles",Byrd,Charles,3,134,69.80%,3,50.00%,0,9,1,2
"Kassem, Nadia",Kassem,Nadia,3,134,65.70%,0,0.00%,0,1,2,0
"Andy, Reese",Andy,Reese,2,133,68.20%,1,20.00%,0,0,0,0
"Trigg, Frank",Trigg,Frank,7,133,60.70%,2,66.70%,1,4,1,0
"Figueiredo, Deiveson",Figueiredo,Deiveson,4,133,61.30%,7,53.80%,4,9,0,0
"Gumm, Brad",Gumm,Brad,2,131,75.30%,0,0.00%,0,2,2,0
"Roberson, Karl",Roberson,Karl,3,131,68.90%,3,75.00%,0,4,0,1
"Tuivasa, Tai",Tuivasa,Tai,4,131,51.60%,0,0.00%,2,1,0,0
"Koppenhaver, Jon",Koppenhaver,Jon,2,129,81.10%,1,50.00%,0,1,1,0
"Newton, Carlos",Newton,Carlos,7,129,63.90%,10,58.80%,2,8,3,3
"Piechota, Oskar",Piechota,Oskar,3,128,62.10%,2,50.00%,3,9,0,0
"Heath, David",Heath,David,5,127,43.90%,1,50.00%,0,2,0,1
"Sakai, Augusto",Sakai,Augusto,1,125,53.60%,1,100.00%,0,1,0,0
"Correira, Wesley",Correira,Wesley,4,124,56.60%,0,0.00%,1,0,0,0
"Hague, Tim",Hague,Tim,5,124,53.20%,4,33.30%,0,5,0,1
"Whitmire, Emily",Whitmire,Emily,3,124,43.70%,1,50.00%,0,1,1,0
"Singer, Rory",Singer,Rory,4,123,45.10%,1,25.00%,0,2,0,1
"Perez, Markus",Perez,Markus,4,121,53.80%,3,42.90%,0,5,0,1
"Adams, Juan",Adams,Juan,1,121,67.20%,2,100.00%,0,4,0,0
"Alexander, Houston",Alexander,Houston,6,120,61.90%,1,100.00%,3,0,0,0
"Gibson, Lance",Gibson,Lance,2,120,80.00%,2,50.00%,1,5,0,0
"White, Vernon",White,Vernon,2,120,64.90%,1,16.70%,0,5,1,0
"Halverson, John",Halverson,John,2,119,65.40%,0,-,0,0,0,0
"Mezger, Guy",Mezger,Guy,5,118,73.80%,1,50.00%,0,5,0,1
"Spratt, Pete",Spratt,Pete,7,118,72.40%,1,100.00%,0,6,3,3
"Strasser, Dave",Strasser,Dave,2,118,60.20%,1,33.30%,0,1,0,0
"Wieczorek, Adam",Wieczorek,Adam,3,118,53.20%,1,33.30%,0,2,0,1
"Curran, Jeff",Curran,Jeff,3,117,35.10%,0,0.00%,0,0,2,0
"Iha, Fabiano",Iha,Fabiano,7,117,63.20%,6,26.10%,0,3,0,2
"Gall, Mickey",Gall,Mickey,6,117,71.30%,4,66.70%,2,13,1,4
"Ramos, Davi",Ramos,Davi,4,117,41.20%,7,58.30%,0,9,0,3
"Teymur, Daniel",Teymur,Daniel,2,117,48.00%,0,0.00%,0,0,0,0
"Rodriguez, Mike",Rodriguez,Mike,3,117,69.60%,0,-,3,0,0,0
"Eastman, Marvin",Eastman,Marvin,5,116,47.20%,2,28.60%,0,1,0,0
"Fujii, Katsuhisa",Fujii,Katsuhisa,2,115,63.90%,2,66.70%,1,0,0,0
"Gono, Akihiro",Gono,Akihiro,3,115,58.40%,4,80.00%,1,4,1,1
"Horwich, Matt",Horwich,Matt,2,114,83.20%,0,0.00%,0,2,2,0
"Vaulin, Yuri",Vaulin,Yuri,1,114,87.00%,0,-,0,0,0,0
"Radach, Benji",Radach,Benji,3,113,74.80%,0,-,2,1,0,0
"Oleksiejczuk, Michal",Oleksiejczuk,Michal,1,113,66.10%,2,66.70%,0,1,0,0
"Kaplan, David",Kaplan,David,2,112,58.90%,7,43.80%,0,2,1,0
"Thompson, Nick",Thompson,Nick,2,112,62.60%,2,100.00%,0,7,3,0
"Albini, Junior",Albini,Junior,4,112,58.90%,1,50.00%,1,1,0,0
"Palaszewski, Bart",Palaszewski,Bart,4,111,32.60%,0,-,1,0,0,0
"Ruas, Marco",Ruas,Marco,6,111,57.50%,3,75.00%,1,6,1,3
"Kenan, Song",Kenan,Song,3,111,45.50%,0,-,2,0,0,0
"Viana, Polyana",Viana,Polyana,2,111,52.90%,2,28.60%,0,5,1,1
"Dawson, Grant",Dawson,Grant,1,110,67.50%,1,100.00%,0,4,0,1
"Escovedo, Cole",Escovedo,Cole,3,109,53.70%,2,40.00%,0,1,0,0
"Hoffman, Bobby",Hoffman,Bobby,3,109,65.70%,5,83.30%,1,5,1,0
"Yaozong, Hu",Yaozong,Hu,2,109,53.20%,0,0.00%,0,0,0,0
"Lennox, Jesse",Lennox,Jesse,3,108,28.30%,3,60.00%,0,2,0,0
"Thomas, Ryan",Thomas,Ryan,2,108,66.30%,5,33.30%,0,2,0,0
"Aliev, Sultan",Aliev,Sultan,6,108,72.50%,3,50.00%,0,3,1,0
"Moraes, Marlon",Moraes,Marlon,5,106,34.50%,1,25.00%,3,0,0,0
"Roberts, Tyrone",Roberts,Tyrone,1,105,64.40%,1,100.00%,0,0,0,0
"Ladd, Aspen",Ladd,Aspen,3,104,61.90%,1,100.00%,0,3,0,0
"Aguilar, Kevin",Aguilar,Kevin,1,103,55.40%,0,0.00%,1,2,0,0
"Ismagulov, Damir",Ismagulov,Damir,1,103,75.20%,5,45.50%,0,4,0,0
"Miller, Phillip",Miller,Phillip,2,102,69.40%,6,25.00%,0,19,1,1
"Ankalaev, Magomed",Ankalaev,Magomed,3,101,64.70%,0,-,1,3,2,0
"Beneteau, Dave",Beneteau,Dave,6,100,69.40%,6,100.00%,0,4,0,0
"Gugerty, Shannon",Gugerty,Shannon,5,100,56.80%,5,27.80%,0,5,0,2
"Delgado, Rolando",Delgado,Rolando,3,99,60.00%,2,22.20%,1,7,1,1
"Rhodes, Johnny",Rhodes,Johnny,3,99,74.40%,1,100.00%,1,2,0,1
"Bibulatov, Magomed",Bibulatov,Magomed,3,99,56.60%,2,28.60%,0,9,0,0
"Honchak, Barb",Honchak,Barb,2,99,30.80%,0,0.00%,0,0,0,0
"De La Rosa, Mark",De La Rosa,Mark,3,98,44.50%,2,20.00%,0,1,0,1
"Sims, Wes",Sims,Wes,3,97,82.20%,0,0.00%,0,0,0,0
"Mueller, Lauren",Mueller,Lauren,2,97,42.90%,2,66.70%,0,1,0,0
"Magalhaes, Vinny",Magalhaes,Vinny,5,96,27.00%,4,44.40%,0,5,0,1
"Spitz, Daniel",Spitz,Daniel,3,96,46.20%,2,66.70%,0,0,0,0
"Romero Borella, Mara",Romero Borella,Mara,3,96,41.40%,2,50.00%,0,3,0,1
"Duffee, Todd",Duffee,Todd,6,95,36.40%,0,-,3,0,0,0
"Levicki, David",Levicki,David,1,95,93.10%,0,-,0,0,0,0
"Miller, Jason",Miller,Jason,3,95,39.10%,2,11.80%,0,1,1,0
"Hernandez, Alexander",Hernandez,Alexander,3,95,62.90%,4,40.00%,1,3,1,0
"Gunther, John",Gunther,John,2,95,60.90%,8,42.10%,0,3,0,0
"De La Rosa, Montana",De La Rosa,Montana,3,94,47.50%,0,0.00%,0,2,0,2
"Zuniga, Allan",Zuniga,Allan,1,93,63.30%,0,-,0,0,0,0
"Bustamante, Murilo",Bustamante,Murilo,4,91,62.30%,10,30.30%,2,11,0,2
"Jackson, Jeremy",Jackson,Jeremy,2,91,66.90%,2,40.00%,0,2,2,0
"Touahri, Salim",Touahri,Salim,3,91,52.00%,0,-,0,0,0,0
"Telligman, Tra",Telligman,Tra,5,90,45.20%,0,0.00%,1,0,0,1
"Heinisch, Ian",Heinisch,Ian,1,90,67.70%,1,14.30%,1,1,0,0
"Evans, Doug",Evans,Doug,2,88,52.10%,5,83.30%,0,2,1,0
"Moreira, Joe",Moreira,Joe,2,88,81.50%,3,50.00%,0,7,0,0
"Von Flue, Jason",Von Flue,Jason,3,88,51.80%,2,18.20%,0,3,1,1
"Martinez, Jonathan",Martinez,Jonathan,2,88,68.80%,1,50.00%,0,1,0,0
"Letson, Leah",Letson,Leah,1,88,44.90%,0,0.00%,0,0,0,0
"Goodridge, Gary",Goodridge,Gary,8,87,69.60%,4,66.70%,0,3,2,0
"Ruediger, Gabe",Ruediger,Gabe,3,87,59.60%,2,11.10%,0,3,0,0
"Saunders, Townsend",Saunders,Townsend,2,87,61.70%,2,22.20%,0,0,1,0
"Lee, Andrea",Lee,Andrea,2,87,66.40%,3,60.00%,0,8,0,0
"Shevchenko, Antonina",Shevchenko,Antonina,1,87,52.10%,2,100.00%,0,1,0,0
"Marquez, Julian",Marquez,Julian,2,86,39.40%,0,0.00%,0,2,0,1
"Buren, Wuliji",Buren,Wuliji,3,86,53.40%,6,40.00%,0,2,0,0
"Nurmagomedov, Said",Nurmagomedov,Said,2,86,64.20%,1,9.10%,0,0,0,0
"Abbadi, Danny",Abbadi,Danny,2,85,45.90%,0,-,0,0,0,0
"Bruno, Steve",Bruno,Steve,3,85,70.20%,5,25.00%,0,3,0,1
"Kyle, Mike",Kyle,Mike,3,85,77.30%,1,50.00%,2,1,0,0
"Morales, Vince",Morales,Vince,1,83,39.30%,0,-,0,0,0,0
"Murphy, Tom",Murphy,Tom,1,82,82.00%,6,85.70%,0,2,0,0
"Day, Jason",Day,Jason,3,81,67.50%,0,-,0,0,0,0
"Garcia, Edgar",Garcia,Edgar,5,81,30.30%,4,57.10%,0,3,0,0
"Southworth, Bobby",Southworth,Bobby,1,81,53.60%,1,50.00%,0,0,0,0
"Bowles, Brian",Bowles,Brian,4,80,33.60%,2,100.00%,0,2,0,1
"Mandaloniz, Troy",Mandaloniz,Troy,2,80,60.60%,4,66.70%,2,5,0,0
"Sudo, Genki",Sudo,Genki,3,79,54.50%,6,60.00%,0,7,0,2
"Lopez, Benito",Lopez,Benito,3,79,42.00%,0,-,1,1,0,0
"Faria, Kalindra",Faria,Kalindra,3,79,61.20%,2,66.70%,0,4,0,0
"Aram, Romie",Aram,Romie,1,78,62.40%,2,50.00%,1,1,0,0
"Rollins, Jared",Rollins,Jared,1,78,70.30%,2,50.00%,1,3,0,0
"Barber, Maycee",Barber,Maycee,1,78,72.90%,1,20.00%,0,1,0,0
"Crunkilton, Richard",Crunkilton,Richard,1,77,52.00%,4,57.10%,0,0,0,0
"Hieron, Jay",Hieron,Jay,4,77,38.90%,9,52.90%,0,8,0,0
"Kohler, Brad",Kohler,Brad,2,77,80.20%,4,57.10%,1,2,0,0
"Smith, Scott",Smith,Scott,4,77,37.20%,0,0.00%,2,0,0,0
"Neal, Geoff",Neal,Geoff,3,77,56.20%,0,-,2,0,0,1
"Lewis, Bevon",Lewis,Bevon,1,77,45.80%,0,-,0,0,0,0
"White, Craig",White,Craig,2,77,63.10%,0,0.00%,1,0,0,0
"Sokoudjou, Rameau Thierry",Sokoudjou,Rameau Thierry,3,76,45.00%,2,40.00%,1,0,0,0
"Macedo, Veronica",Macedo,Veronica,3,76,49.40%,1,100.00%,0,0,0,0
"Ghosn, Tiki",Ghosn,Tiki,4,75,50.30%,0,-,0,0,0,0
"Taylor, Jesse",Taylor,Jesse,2,75,75.80%,3,50.00%,0,5,1,1
"Frevola, Matt",Frevola,Matt,2,75,36.20%,2,33.30%,0,1,1,0
"Ewell, Andre",Ewell,Andre,2,75,39.50%,1,100.00%,1,0,0,0
"Karalexis, Alex",Karalexis,Alex,3,74,43.30%,1,20.00%,0,1,0,0
"Osterneck, Nissen",Osterneck,Nissen,1,74,67.30%,1,12.50%,0,2,1,0
"Schultz, Mark",Schultz,Mark,1,74,77.10%,3,100.00%,0,5,0,0
"Takahashi, Yoshiki",Takahashi,Yoshiki,1,72,72.70%,1,100.00%,0,0,0,0
"Lutter, Travis",Lutter,Travis,6,71,62.80%,6,24.00%,1,10,1,1
"Jackson, Montel",Jackson,Montel,2,71,53.00%,2,100.00%,0,0,0,1
"Rodriguez, Marina",Rodriguez,Marina,2,71,46.40%,0,-,0,0,1,0
"Griffin, Jordan",Griffin,Jordan,1,71,57.70%,0,0.00%,0,0,1,0
"Cobb, Brian",Cobb,Brian,1,70,81.40%,2,50.00%,0,0,0,0
"Irvin, James",Irvin,James,10,70,53.00%,0,0.00%,3,0,1,0
"Johnston, Brian",Johnston,Brian,6,70,72.20%,2,66.70%,0,5,1,0
"Alcarez, Alfonso",Alcarez,Alfonso,1,69,68.30%,1,50.00%,0,0,0,0
"Yanan, Wu",Yanan,Wu,2,69,58.50%,1,33.30%,0,1,0,1
"Hughes, Mark",Hughes,Mark,1,68,87.20%,2,50.00%,0,4,0,0
"Jones, Paul",Jones,Paul,2,66,80.50%,0,0.00%,0,2,1,1
"Leopoldo, Kimo",Leopoldo,Kimo,6,66,56.90%,4,40.00%,0,10,3,1
"Stoliarenko, Julija",Stoliarenko,Julija,1,66,39.30%,0,0.00%,0,0,0,0
"Earwood, Ben",Earwood,Ben,1,64,90.10%,2,100.00%,0,4,0,0
"Gusmao, Andre",Gusmao,Andre,2,64,48.50%,0,0.00%,0,0,0,0
"Medina, Todd",Medina,Todd,2,64,97.00%,1,100.00%,0,1,0,1
"Rivera, Dante",Rivera,Dante,1,64,67.40%,0,0.00%,0,0,0,0
"Stout, Curtis",Stout,Curtis,2,64,92.80%,0,-,0,0,0,0
"Fernandes, CJ",Fernandes,CJ,1,63,67.00%,1,100.00%,0,0,0,0
"Haynes, Josh",Haynes,Josh,3,63,30.90%,2,18.20%,1,1,1,0
"Robinson, Colin",Robinson,Colin,2,63,79.70%,1,100.00%,0,2,0,0
"Torres, Anthony",Torres,Anthony,2,63,70.00%,0,-,0,1,0,1
"Barreto, Carlos",Barreto,Carlos,1,61,70.10%,2,50.00%,0,1,0,0
"McGee, Gan",McGee,Gan,4,61,41.80%,2,25.00%,0,4,0,0
"Garcia, Elias",Garcia,Elias,2,61,39.90%,1,14.30%,1,0,1,0
"Giannetti, Joe",Giannetti,Joe,1,61,56.50%,1,16.70%,0,0,0,0
"Al-Hassan, Razak",Al-Hassan,Razak,2,60,39.70%,1,20.00%,0,1,1,0
"Williams, Tim",Williams,Tim,2,60,41.70%,2,40.00%,0,0,0,0
"Cifers, Hannah",Cifers,Hannah,1,60,68.20%,0,-,0,0,0,0
"Barrera, Dan",Barrera,Dan,1,59,92.20%,1,8.30%,0,0,1,0
"Black, Jason",Black,Jason,2,59,77.60%,0,0.00%,0,3,2,0
"Forbes, Jesse",Forbes,Jesse,3,59,28.80%,1,50.00%,1,1,0,0
"Morgan, Sammy",Morgan,Sammy,2,59,59.00%,0,0.00%,0,0,0,0
"Rees, Johnny",Rees,Johnny,2,59,70.20%,1,25.00%,0,1,0,0
"Williams, Tedd",Williams,Tedd,2,59,80.80%,1,10.00%,1,1,0,0
"Aldana, Gilbert",Aldana,Gilbert,2,58,65.90%,2,40.00%,0,2,0,0
"Worsham, Cal",Worsham,Cal,3,56,62.20%,1,50.00%,0,1,0,0
"Hinkle, Branden Lee",Hinkle,Branden Lee,3,55,76.40%,4,57.10%,0,5,0,0
"Weir, Mark",Weir,Mark,3,55,73.30%,0,-,2,1,1,0
"Zikic, James",Zikic,James,1,55,59.10%,0,0.00%,0,0,0,0
"Maia, Jennifer",Maia,Jennifer,1,55,46.60%,0,-,0,0,0,0
"Hackney, Keith",Hackney,Keith,4,54,61.40%,0,-,1,1,0,1
"Phillips, John",Phillips,John,5,54,34.20%,0,-,0,0,1,0
"Morales, Joseph",Morales,Joseph,3,54,40.90%,1,50.00%,1,1,0,1
"Cook, Bob",Cook,Bob,1,53,67.90%,1,20.00%,0,3,0,1
"Smith, Patrick",Smith,Patrick,6,53,71.60%,2,66.70%,1,2,0,3
"Sosnovskiy, Dmitry",Sosnovskiy,Dmitry,3,53,74.60%,2,66.70%,0,5,1,1
"Ostovich, Rachael",Ostovich,Rachael,3,53,43.80%,1,100.00%,0,1,0,1
"Murtazaliev, Khalid",Murtazaliev,Khalid,1,53,71.60%,5,100.00%,0,5,1,0
"Ignatov, Valeri",Ignatov,Valeri,2,52,66.70%,0,-,0,0,0,0
"Scherner, Fabiano",Scherner,Fabiano,2,52,57.10%,1,33.30%,0,2,1,0
"de Oliveira, Edilberto",de Oliveira,Edilberto,2,51,32.30%,0,0.00%,0,0,0,0
"Anderson, Megan",Anderson,Megan,3,51,56.70%,0,-,0,0,1,0
"Ivanov, Blagoy",Ivanov,Blagoy,1,51,22.30%,0,-,0,0,0,0
"Radev, Jordan",Radev,Jordan,2,50,41.70%,0,-,0,0,0,0
"Rosholt, Jake",Rosholt,Jake,3,50,60.20%,7,70.00%,0,6,0,1
"Spann, Ryan",Spann,Ryan,2,50,49.50%,0,-,0,5,1,0
"Evinger, Tonya",Evinger,Tonya,2,49,45.00%,1,20.00%,0,0,0,0
"Haseman, Chris",Haseman,Chris,1,49,87.50%,0,-,0,0,0,0
"Crute, Jimmy",Crute,Jimmy,2,49,65.30%,1,100.00%,0,9,2,1
"Bowen, Melton",Bowen,Melton,1,48,81.40%,0,-,0,0,0,0
"Cramer, Dan",Cramer,Dan,2,48,39.00%,0,0.00%,0,0,2,0
"Kalman, Geza",Kalman,Geza,2,48,75.00%,0,0.00%,0,1,1,0
"Pardoel, Remco",Pardoel,Remco,5,47,90.40%,4,100.00%,0,5,0,2
"Robertson, Gillian",Robertson,Gillian,3,47,49.50%,4,50.00%,0,10,0,2
"Villefort, Danillo",Villefort,Danillo,1,46,39.00%,1,50.00%,0,1,0,0
"Jordan, Kevin",Jordan,Kevin,2,45,47.40%,0,0.00%,0,0,0,0
"Wessel, Mike",Wessel,Mike,1,45,77.60%,3,50.00%,0,3,0,0
"Saki, Gokhan",Saki,Gokhan,4,45,58.40%,0,-,2,0,0,0
"Jackson, Kevin",Jackson,Kevin,4,44,74.60%,5,100.00%,0,6,0,1
"Nickels, Mike",Nickels,Mike,2,44,66.70%,4,80.00%,0,1,0,1
"Stojnic, Denis",Stojnic,Denis,2,44,34.90%,0,-,0,0,0,0
"Velasquez, David",Velasquez,David,1,44,68.80%,0,-,0,0,0,0
"Yusuff, Sodiq",Yusuff,Sodiq,1,44,66.70%,0,-,0,0,0,0
"Espino, Juan",Espino,Juan,1,44,84.60%,2,100.00%,0,4,0,1
"Goes, Allan",Goes,Allan,1,43,76.80%,0,-,1,0,0,0
"Hall, Mark",Hall,Mark,7,43,72.90%,0,-,0,0,1,1
"Reiner, Chad",Reiner,Chad,2,43,55.80%,1,33.30%,0,1,0,0
"Shipp, Wade",Shipp,Wade,1,42,87.50%,0,-,0,0,0,0
"Madge, Don",Madge,Don,1,42,79.20%,0,-,2,0,0,0
"Pena, Luis",Pena,Luis,2,42,35.00%,2,20.00%,1,2,2,1
"Nelmark, Steve",Nelmark,Steve,3,41,91.10%,2,100.00%,0,4,0,1
"Bitetti, Amaury",Bitetti,Amaury,2,40,80.00%,0,0.00%,0,0,0,0
"Marsh, John",Marsh,John,1,40,69.00%,1,100.00%,1,2,0,0
"Semenov, Andrei",Semenov,Andrei,2,40,38.10%,1,50.00%,1,0,0,0
"Yamamoto, Kenichi",Yamamoto,Kenichi,3,40,71.40%,0,0.00%,0,0,0,1
"Andre, Jermaine",Andre,Jermaine,1,39,66.10%,0,-,1,0,0,0
"Browning, Junie",Browning,Junie,2,39,52.70%,2,66.70%,0,7,1,1
"Caudillo, Luke",Caudillo,Luke,2,39,26.70%,0,0.00%,1,0,0,0
"Leninger, Christophe",Leninger,Christophe,2,39,70.90%,0,0.00%,0,0,0,0
"Prachnio, Marcin",Prachnio,Marcin,2,39,58.20%,0,-,0,0,0,0
"Loughran, Nate",Loughran,Nate,2,38,49.40%,0,0.00%,0,0,0,1
"Rockel, Keith",Rockel,Keith,2,38,86.40%,3,75.00%,0,7,0,1
"Rosier, Kevin",Rosier,Kevin,3,38,67.90%,0,-,2,0,0,0
"Stiebling, Alex",Stiebling,Alex,1,38,90.50%,0,-,0,0,0,0
"Veach, Matt",Veach,Matt,3,38,39.60%,5,38.50%,1,3,0,0
"Jennum, Steve",Jennum,Steve,3,37,43.50%,3,75.00%,0,5,0,1
